hospital,ed_trolleys,ward_trolleys,total_trolleys,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,snapshot_date
Beaumont Hospital,12,0,12,26,24,0,0,19/05/2026
Cavan General Hospital,8,0,8,6,3,0,0,19/05/2026
Connolly Hospital Blanchardstown,0,0,0,4,4,0,0,19/05/2026
Louth County Hospital,0,0,0,0,0,0,0,19/05/2026
Mater Misericordiae University Hospital,22,0,22,49,17,1,0,19/05/2026
National Orthopaedic Hospital Cappagh,0,0,0,0,0,0,0,19/05/2026
Our Lady of Lourdes Hospital,4,0,4,33,11,0,0,19/05/2026
Our Lady's Hospital Navan,0,0,0,19,0,0,0,19/05/2026
CHI at Crumlin,2,0,2,0,3,0,0,19/05/2026
CHI at Tallaght,1,0,1,5,2,0,0,19/05/2026
CHI at Temple Street,1,0,1,0,1,0,0,19/05/2026
Midland Regional Hospital Mullingar,8,2,10,0,2,0,0,19/05/2026
Midland Regional Hospital Portlaoise,8,0,8,14,3,0,0,19/05/2026
Midland Regional Hospital Tullamore,0,0,0,17,10,0,0,19/05/2026
Naas General Hospital,16,0,16,22,10,2,0,19/05/2026
St. James's Hospital,14,0,14,12,54,0,0,19/05/2026
St. Luke's Radiation Oncology Network,0,0,0,0,0,0,0,19/05/2026
Tallaght University Hospital,0,0,0,12,10,0,0,19/05/2026
National Rehabilitation Hospital,0,0,0,0,7,0,0,19/05/2026
St. Columcille's Hospital,0,0,0,0,7,0,0,19/05/2026
St Luke's General Hospital Kilkenny,12,5,17,16,21,2,0,19/05/2026
St. Michael's Hospital,0,0,0,0,7,0,0,19/05/2026
St. Vincent's University Hospital,39,10,49,62,28,12,2,19/05/2026
Tipperary University Hospital,9,0,9,26,10,2,0,19/05/2026
UH Waterford,0,0,0,0,26,0,0,19/05/2026
Wexford General Hospital,1,2,3,21,7,1,0,19/05/2026
Bantry General Hospital,0,0,0,0,9,0,0,19/05/2026
Cork University Hospital,29,10,39,46,37,4,1,19/05/2026
Mallow General Hospital,0,0,0,0,5,0,0,19/05/2026
Mercy University Hospital,3,0,3,20,17,0,0,19/05/2026
South Infirmary Victoria University Hospital,0,0,0,0,3,0,0,19/05/2026
University Hospital Kerry,10,0,10,20,16,4,0,19/05/2026
Ennis Hospital,0,0,0,0,5,0,0,19/05/2026
Nenagh Hospital,0,0,0,0,1,0,0,19/05/2026
St. John's Hospital Limerick,0,0,0,0,7,0,0,19/05/2026
University Hospital Limerick,17,43,60,40,21,29,0,19/05/2026
Galway University Hospitals,13,16,29,43,32,3,0,19/05/2026
Letterkenny University Hospital,4,2,6,12,38,0,0,19/05/2026
Mayo University Hospital,7,15,22,12,8,14,0,19/05/2026
Portiuncula University Hospital,7,0,7,6,10,0,0,19/05/2026
Roscommon University Hospital,0,0,0,0,3,0,0,19/05/2026
Sligo University Hospital,5,8,13,27,29,4,0,19/05/2026
