hospital,hospital_beds,source
Bantry General Hospital,46,DoH Open Beds Report March 2021
Beaumont Hospital,718,DoH Open Beds Report March 2021
Cavan General Hospital,231,DoH Open Beds Report March 2021
Connolly Hospital Blanchardstown,303,DoH Open Beds Report March 2021
Cork University Hospital,664,DoH Open Beds Report March 2021
Ennis Hospital,50,DoH Open Beds Report March 2021
Galway University Hospitals,663,DoH Open Beds Report March 2021
Letterkenny University Hospital,350,DoH Open Beds Report March 2021
Mater Misericordiae University Hospital,678,DoH Open Beds Report March 2021
Mayo University Hospital,255,DoH Open Beds Report March 2021
Mercy University Hospital,198,DoH Open Beds Report March 2021
Midland Regional Hospital Mullingar,184,DoH Open Beds Report March 2021
Midland Regional Hospital Portlaoise,133,DoH Open Beds Report March 2021
Naas General Hospital,178,DoH Open Beds Report March 2021
Our Lady of Lourdes Hospital,426,DoH Open Beds Report March 2021
Our Lady's Children's Hospital Crumlin,184,DoH Open Beds Report March 2021
Portiuncula University Hospital,163,DoH Open Beds Report March 2021
Sligo University Hospital,281,DoH Open Beds Report March 2021
St Jamess Hospital,680,DoH Open Beds Report March 2021
St Lukes General Hospital,188,DoH Open Beds Report March 2021
St. Vincent's University Hospital,523,DoH Open Beds Report March 2021
Tallaght University Hospital,397,DoH Open Beds Report March 2021
Temple Street Childrens University Hospital,100,DoH Open Beds Report March 2021
Tipperary University Hospital,205,DoH Open Beds Report March 2021
University Hospital Kerry,272,DoH Open Beds Report March 2021
University Hospital Limerick,519,DoH Open Beds Report March 2021
Wexford General Hospital,227,DoH Open Beds Report March 2021
