,,,,,,,,,,,,,,,
Name,Address,Opening Hours,Day,,Source: ,,,,,,,,,,
Caredoc Arklow,"Arklow Primary Care Centre, Castlepark, Arklow, Wicklow, Y14 AE10","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Carlow,"Caredoc Carlow, District Hospital, Carlow Health Services Complex, Athy Rd, Carlow, R93 V603","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Cashel,"Caredoc Cashel, Our Lady’s Hospital, Lower Green, Cashel, Tipperary, E25 P407","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Clonmel,"Caredoc Clonmel, The County Clinic, Western Road, Clonmel, Tipperary, E91 HT96","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Dungarvan,"Caredoc Dungarvan, Springmount, Dungarvan, Waterford, X35 WA22","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Enniscorthy,"Enniscorthy Primary Care Centre, Quarry Road, Enniscorthy, Wexford, Y21 T8W7","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Gorey,"Caredoc Gorey, Gorey District Hospital, Gorey, Wexford, Y25 N5K6","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Kilkenny,"Ayrfield Medical Park, Granges Road, Kilkenny City, Kilkenny, R95 P2EF","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc New Ross,"Caredoc New Ross, Chambersland, New Ross, Wexford, Y34 WY18","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
Caredoc Sligo,"Markievicz Primary Care Centre, Barrack Street, Sligo Town, Sligo, F91 Y8EK","12am-9am, 6pm-12am ",Monday- Friday,,,,,,,,,,,,
,,24 hours,Saturday- Sunday,,,,,,,,,,,,
