,,,,,,,,,,Daily Trolley count,,,,Surge Capacity in Use (Full report @14:00),,Delayed Transfers of Care (As of Midnight),,No of Total Waiting >24hrs,,No of >75+yrs Waiting >24hrs
,,,,,,,,,,ED Trolleys,Ward Trolleys,Total,,,,,,,,
National Total,,,,,,,,,,252,113,365,,570,,508,,78,,3
HSE Dublin & North East,,,,,,,,,,,,,,,,,,,,
,Beaumont Hospital,,,,,,,,,12,0,12,,26,,24,,,,
,,,,,,,,,,,,,,,,,,,,
,Cavan General Hospital,,,,,,,,,8,0,8,,6,,3,,,,
,,,,,,,,,,,,,,,,,,,,
,Connolly Hospital,,,,,,,,,0,0,0,,4,,4,,,,
,,,,,,,,,,,,,,,,,,,,
,Louth County Hospital,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,
,Mater Misericordiae University Hospital,,,,,,,,,22,0,22,,49,,17,,1,,
,,,,,,,,,,,,,,,,,,,,
,National Orthopaedic Hospital Cappagh,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,
,Our Lady of Lourdes Hospital,,,,,,,,,4,0,4,,33,,11,,,,
,,,,,,,,,,,,,,,,,,,,
,Our Lady's Hospital Navan,,,,,,,,,0,0,0,,19,,0,,,,
HSE Dublin and North East Total,,,,,,,,,,46,0,46,,137,,59,,1,,0
HSE Dublin & Midlands,,,,,,,,,,,,,,,,,,,,
,CHI at Crumlin,,,,,,,,,2,0,2,,0,,3,,,,
,,,,,,,,,,,,,,,,,,,,
,CHI at Tallaght,,,,,,,,,1,0,1,,5,,2,,,,
,,,,,,,,,,,,,,,,,,,,
,CHI at Temple Street,,,,,,,,,1,0,1,,0,,1,,,,
,,,,,,,,,,,,,,,,,,,,
,MRH Mullingar,,,,,,,,,8,2,10,,0,,2,,,,
,,,,,,,,,,,,,,,,,,,,
,MRH Portlaoise,,,,,,,,,8,0,8,,14,,3,,,,
,,,,,,,,,,,,,,,,,,,,
,MRH Tullamore,,,,,,,,,0,0,0,,17,,10,,,,
,,,,,,,,,,,,,,,,,,,,
,Naas General Hospital,,,,,,,,,16,0,16,,22,,10,,2,,
,,,,,,,,,,,,,,,,,,,,
,St. James's Hospital,,,,,,,,,14,0,14,,12,,54,,,,
,,,,,,,,,,,,,,,,,,,,
,St. Luke's Radiation Oncology Network,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,
,Tallaght University Hospital,,,,,,,,,0,0,0,,12,,10,,,,
HSE Dublin and Midlands Total,,,,,,,,,,50,2,52,,82,,95,,2,,0
HSE Dublin & South East,,,,,,,,,,,,,,,,,,,,
,National Rehabilitation Hospital,,,,,,,,,,,,,,,7,,,,
,,,,,,,,,,,,,,,,,,,,
,St. Columcille's Hospital,,,,,,,,,,,,,,,7,,,,
,,,,,,,,,,,,,,,,,,,,
,St Luke's General Hospital Kilkenny,,,,,,,,,12,5,17,,16,,21,,2,,
,,,,,,,,,,,,,,,,,,,,
,St. Michael's Hospital,,,,,,,,,,,,,,,7,,,,
,,,,,,,,,,,,,,,,,,,,
,St. Vincent's University Hospital,,,,,,,,,39,10,49,,62,,28,,12,,2
,,,,,,,,,,,,,,,,,,,,
,Tipperary University Hospital,,,,,,,,,9,0,9,,26,,10,,2,,
,,,,,,,,,,,,,,,,,,,,
,UH Waterford,,,,,,,,,0,0,0,,0,,26,,,,
