STATISTIC,Statistic Label,YEAR,Year,FUNCTION,Type of function,BEDTYPE,Bed type,UNIT,VALUE,FLAG,Flag
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,TOTAL,All types of bed functions,TOT,All types of beds,Number,12813,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,TOTAL,All types of bed functions,TOT,All types of beds,Number,12434,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,TOTAL,All types of bed functions,TOT,All types of beds,Number,12008,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,TOTAL,All types of bed functions,TOT,All types of beds,Number,11692,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,TOTAL,All types of bed functions,TOT,All types of beds,Number,11837,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,TOTAL,All types of bed functions,TOT,All types of beds,Number,11989,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,TOTAL,All types of bed functions,TOT,All types of beds,Number,13730,B,Break in series
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,TOTAL,All types of bed functions,TOT,All types of beds,Number,14042,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,TOTAL,All types of bed functions,TOT,All types of beds,Number,14279,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,TOTAL,All types of bed functions,TOT,All types of beds,Number,14475,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,TOTAL,All types of bed functions,TOT,All types of beds,Number,14213,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,TOTAL,All types of bed functions,TOT,All types of beds,Number,14412,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,TOTAL,All types of bed functions,TOT,All types of beds,Number,14567,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,TOTAL,All types of bed functions,TOT,All types of beds,Number,15009,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,TOTAL,All types of bed functions,TOT,All types of beds,Number,15372,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,11053,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,10672,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,10384,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,10083,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,10227,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,10349,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12101,B,Break in series
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12412,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12638,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12841,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12600,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12818,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,12952,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,13324,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,TOTAL,All types of bed functions,SOM,Somatic care type beds,Number,13738,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1760,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1762,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1624,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1609,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1610,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1640,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1629,,
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1630,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1641,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1634,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1613,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1594,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1615,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1685,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,TOTAL,All types of bed functions,PSYCH,Psychiatric care type beds,Number,1634,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11755,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11417,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11116,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,10885,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11005,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,11241,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,12931,B,Break in series
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13176,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13369,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13560,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13281,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13491,,
HOSPBEDFUNC,Hospital beds by function and type,2021,2021,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,13626,,
HOSPBEDFUNC,Hospital beds by function and type,2022,2022,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,14010,,
HOSPBEDFUNC,Hospital beds by function and type,2023,2023,CURATIVE,Beds for curative care function,TOT,All types of beds,Number,14238,,
HOSPBEDFUNC,Hospital beds by function and type,2009,2009,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,10656,,
HOSPBEDFUNC,Hospital beds by function and type,2010,2010,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,10226,,
HOSPBEDFUNC,Hospital beds by function and type,2011,2011,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9927,,
HOSPBEDFUNC,Hospital beds by function and type,2012,2012,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9570,,
HOSPBEDFUNC,Hospital beds by function and type,2013,2013,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9686,,
HOSPBEDFUNC,Hospital beds by function and type,2014,2014,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,9909,,
HOSPBEDFUNC,Hospital beds by function and type,2015,2015,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11604,B,Break in series
HOSPBEDFUNC,Hospital beds by function and type,2016,2016,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11808,,
HOSPBEDFUNC,Hospital beds by function and type,2017,2017,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11988,,
HOSPBEDFUNC,Hospital beds by function and type,2018,2018,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12191,,
HOSPBEDFUNC,Hospital beds by function and type,2019,2019,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,11932,,
HOSPBEDFUNC,Hospital beds by function and type,2020,2020,CURATIVE,Beds for curative care function,SOM,Somatic care type beds,Number,12156,,
