Year,Month,Date,Hospital,KPI,Attendances,is_synthetic
2022,1,01/01/2022,Acute Hospitals Division,return_ed_attendances,2208,TRUE
2022,2,01/02/2022,Acute Hospitals Division,return_ed_attendances,2219,TRUE
2022,3,01/03/2022,Acute Hospitals Division,return_ed_attendances,2131,TRUE
2022,4,01/04/2022,Acute Hospitals Division,return_ed_attendances,1831,TRUE
2022,5,01/05/2022,Acute Hospitals Division,return_ed_attendances,1802,TRUE
2022,6,01/06/2022,Acute Hospitals Division,return_ed_attendances,1809,TRUE
2022,7,01/07/2022,Acute Hospitals Division,return_ed_attendances,1786,TRUE
2022,8,01/08/2022,Acute Hospitals Division,return_ed_attendances,1835,TRUE
2022,9,01/09/2022,Acute Hospitals Division,return_ed_attendances,1933,TRUE
2022,10,01/10/2022,Acute Hospitals Division,return_ed_attendances,1934,TRUE
2022,11,01/11/2022,Acute Hospitals Division,return_ed_attendances,2053,TRUE
2022,12,01/12/2022,Acute Hospitals Division,return_ed_attendances,2240,TRUE
2023,1,01/01/2023,Acute Hospitals Division,return_ed_attendances,2955,TRUE
2023,2,01/02/2023,Acute Hospitals Division,return_ed_attendances,2829,TRUE
2023,3,01/03/2023,Acute Hospitals Division,return_ed_attendances,2685,TRUE
2023,4,01/04/2023,Acute Hospitals Division,return_ed_attendances,2611,TRUE
2023,5,01/05/2023,Acute Hospitals Division,return_ed_attendances,2462,TRUE
2023,6,01/06/2023,Acute Hospitals Division,return_ed_attendances,2365,TRUE
2023,7,01/07/2023,Acute Hospitals Division,return_ed_attendances,2453,TRUE
2023,8,01/08/2023,Acute Hospitals Division,return_ed_attendances,2371,TRUE
2023,9,01/09/2023,Acute Hospitals Division,return_ed_attendances,2645,TRUE
2023,10,01/10/2023,Acute Hospitals Division,return_ed_attendances,2716,TRUE
2023,11,01/11/2023,Acute Hospitals Division,return_ed_attendances,2781,TRUE
2023,12,01/12/2023,Acute Hospitals Division,return_ed_attendances,3007,TRUE
2024,1,01/01/2024,Acute Hospitals Division,return_ed_attendances,3955,TRUE
2024,2,01/02/2024,Acute Hospitals Division,return_ed_attendances,4089,TRUE
2024,3,01/03/2024,Acute Hospitals Division,return_ed_attendances,3660,TRUE
2024,4,01/04/2024,Acute Hospitals Division,return_ed_attendances,3366,TRUE
2024,5,01/05/2024,Acute Hospitals Division,return_ed_attendances,3294,TRUE
2024,6,01/06/2024,Acute Hospitals Division,return_ed_attendances,31254,FALSE
2022,1,01/01/2022,Acute Hospitals Operations,return_ed_attendances,2501,TRUE
2022,2,01/02/2022,Acute Hospitals Operations,return_ed_attendances,2513,TRUE
2022,3,01/03/2022,Acute Hospitals Operations,return_ed_attendances,2160,TRUE
2022,4,01/04/2022,Acute Hospitals Operations,return_ed_attendances,2036,TRUE
2022,5,01/05/2022,Acute Hospitals Operations,return_ed_attendances,2083,TRUE
2022,6,01/06/2022,Acute Hospitals Operations,return_ed_attendances,1921,TRUE
2022,7,01/07/2022,Acute Hospitals Operations,return_ed_attendances,2053,TRUE
2022,8,01/08/2022,Acute Hospitals Operations,return_ed_attendances,2145,TRUE
2022,9,01/09/2022,Acute Hospitals Operations,return_ed_attendances,2101,TRUE
2022,10,01/10/2022,Acute Hospitals Operations,return_ed_attendances,2235,TRUE
2022,11,01/11/2022,Acute Hospitals Operations,return_ed_attendances,2217,TRUE
2022,12,01/12/2022,Acute Hospitals Operations,return_ed_attendances,2435,TRUE
2023,1,01/01/2023,Acute Hospitals Operations,return_ed_attendances,3332,TRUE
2023,2,01/02/2023,Acute Hospitals Operations,return_ed_attendances,3246,TRUE
2023,3,01/03/2023,Acute Hospitals Operations,return_ed_attendances,2891,TRUE
2023,4,01/04/2023,Acute Hospitals Operations,return_ed_attendances,2614,TRUE
2023,5,01/05/2023,Acute Hospitals Operations,return_ed_attendances,2707,TRUE
2023,6,01/06/2023,Acute Hospitals Operations,return_ed_attendances,2423,TRUE
2023,7,01/07/2023,Acute Hospitals Operations,return_ed_attendances,2614,TRUE
2023,8,01/08/2023,Acute Hospitals Operations,return_ed_attendances,2771,TRUE
2023,9,01/09/2023,Acute Hospitals Operations,return_ed_attendances,2823,TRUE
2023,10,01/10/2023,Acute Hospitals Operations,return_ed_attendances,3061,TRUE
2023,11,01/11/2023,Acute Hospitals Operations,return_ed_attendances,3125,TRUE
2023,12,01/12/2023,Acute Hospitals Operations,return_ed_attendances,3083,TRUE
2024,1,01/01/2024,Acute Hospitals Operations,return_ed_attendances,4378,TRUE
2024,2,01/02/2024,Acute Hospitals Operations,return_ed_attendances,4220,TRUE
2024,3,01/03/2024,Acute Hospitals Operations,return_ed_attendances,3707,TRUE
2024,4,01/04/2024,Acute Hospitals Operations,return_ed_attendances,3530,TRUE
2024,5,01/05/2024,Acute Hospitals Operations,return_ed_attendances,3462,TRUE
2024,6,01/06/2024,Acute Hospitals Operations,return_ed_attendances,33038,FALSE
2022,1,01/01/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
2022,2,01/02/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
2022,3,01/03/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
2022,4,01/04/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
2022,5,01/05/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
2022,6,01/06/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
2022,7,01/07/2022,Acute Non Hospital,return_ed_attendances,1,TRUE
