Year,Month,Date,Hospital,KPI,Attendances,is_synthetic
2022,1,2022-01-01,Acute Hospitals Division,return_ed_attendances,2208,True
2022,2,2022-02-01,Acute Hospitals Division,return_ed_attendances,2219,True
2022,3,2022-03-01,Acute Hospitals Division,return_ed_attendances,2131,True
2022,4,2022-04-01,Acute Hospitals Division,return_ed_attendances,1831,True
2022,5,2022-05-01,Acute Hospitals Division,return_ed_attendances,1802,True
2022,6,2022-06-01,Acute Hospitals Division,return_ed_attendances,1809,True
2022,7,2022-07-01,Acute Hospitals Division,return_ed_attendances,1786,True
2022,8,2022-08-01,Acute Hospitals Division,return_ed_attendances,1835,True
2022,9,2022-09-01,Acute Hospitals Division,return_ed_attendances,1933,True
2022,10,2022-10-01,Acute Hospitals Division,return_ed_attendances,1934,True
2022,11,2022-11-01,Acute Hospitals Division,return_ed_attendances,2053,True
2022,12,2022-12-01,Acute Hospitals Division,return_ed_attendances,2240,True
2023,1,2023-01-01,Acute Hospitals Division,return_ed_attendances,2955,True
2023,2,2023-02-01,Acute Hospitals Division,return_ed_attendances,2829,True
2023,3,2023-03-01,Acute Hospitals Division,return_ed_attendances,2685,True
2023,4,2023-04-01,Acute Hospitals Division,return_ed_attendances,2611,True
2023,5,2023-05-01,Acute Hospitals Division,return_ed_attendances,2462,True
2023,6,2023-06-01,Acute Hospitals Division,return_ed_attendances,2365,True
2023,7,2023-07-01,Acute Hospitals Division,return_ed_attendances,2453,True
2023,8,2023-08-01,Acute Hospitals Division,return_ed_attendances,2371,True
2023,9,2023-09-01,Acute Hospitals Division,return_ed_attendances,2645,True
2023,10,2023-10-01,Acute Hospitals Division,return_ed_attendances,2716,True
2023,11,2023-11-01,Acute Hospitals Division,return_ed_attendances,2781,True
2023,12,2023-12-01,Acute Hospitals Division,return_ed_attendances,3007,True
2024,1,2024-01-01,Acute Hospitals Division,return_ed_attendances,3955,True
2024,2,2024-02-01,Acute Hospitals Division,return_ed_attendances,4089,True
2024,3,2024-03-01,Acute Hospitals Division,return_ed_attendances,3660,True
2024,4,2024-04-01,Acute Hospitals Division,return_ed_attendances,3366,True
2024,5,2024-05-01,Acute Hospitals Division,return_ed_attendances,3294,True
2024,6,2024-06-01,Acute Hospitals Division,return_ed_attendances,31254,False
2022,1,2022-01-01,Acute Hospitals Operations,return_ed_attendances,2501,True
2022,2,2022-02-01,Acute Hospitals Operations,return_ed_attendances,2513,True
2022,3,2022-03-01,Acute Hospitals Operations,return_ed_attendances,2160,True
2022,4,2022-04-01,Acute Hospitals Operations,return_ed_attendances,2036,True
2022,5,2022-05-01,Acute Hospitals Operations,return_ed_attendances,2083,True
2022,6,2022-06-01,Acute Hospitals Operations,return_ed_attendances,1921,True
2022,7,2022-07-01,Acute Hospitals Operations,return_ed_attendances,2053,True
2022,8,2022-08-01,Acute Hospitals Operations,return_ed_attendances,2145,True
2022,9,2022-09-01,Acute Hospitals Operations,return_ed_attendances,2101,True
2022,10,2022-10-01,Acute Hospitals Operations,return_ed_attendances,2235,True
2022,11,2022-11-01,Acute Hospitals Operations,return_ed_attendances,2217,True
2022,12,2022-12-01,Acute Hospitals Operations,return_ed_attendances,2435,True
2023,1,2023-01-01,Acute Hospitals Operations,return_ed_attendances,3332,True
2023,2,2023-02-01,Acute Hospitals Operations,return_ed_attendances,3246,True
2023,3,2023-03-01,Acute Hospitals Operations,return_ed_attendances,2891,True
2023,4,2023-04-01,Acute Hospitals Operations,return_ed_attendances,2614,True
2023,5,2023-05-01,Acute Hospitals Operations,return_ed_attendances,2707,True
2023,6,2023-06-01,Acute Hospitals Operations,return_ed_attendances,2423,True
2023,7,2023-07-01,Acute Hospitals Operations,return_ed_attendances,2614,True
2023,8,2023-08-01,Acute Hospitals Operations,return_ed_attendances,2771,True
2023,9,2023-09-01,Acute Hospitals Operations,return_ed_attendances,2823,True
2023,10,2023-10-01,Acute Hospitals Operations,return_ed_attendances,3061,True
2023,11,2023-11-01,Acute Hospitals Operations,return_ed_attendances,3125,True
2023,12,2023-12-01,Acute Hospitals Operations,return_ed_attendances,3083,True
2024,1,2024-01-01,Acute Hospitals Operations,return_ed_attendances,4378,True
2024,2,2024-02-01,Acute Hospitals Operations,return_ed_attendances,4220,True
2024,3,2024-03-01,Acute Hospitals Operations,return_ed_attendances,3707,True
2024,4,2024-04-01,Acute Hospitals Operations,return_ed_attendances,3530,True
2024,5,2024-05-01,Acute Hospitals Operations,return_ed_attendances,3462,True
2024,6,2024-06-01,Acute Hospitals Operations,return_ed_attendances,33038,False
2022,1,2022-01-01,Acute Non Hospital,return_ed_attendances,1,True
2022,2,2022-02-01,Acute Non Hospital,return_ed_attendances,1,True
2022,3,2022-03-01,Acute Non Hospital,return_ed_attendances,1,True
2022,4,2022-04-01,Acute Non Hospital,return_ed_attendances,1,True
2022,5,2022-05-01,Acute Non Hospital,return_ed_attendances,1,True
2022,6,2022-06-01,Acute Non Hospital,return_ed_attendances,1,True
2022,7,2022-07-01,Acute Non Hospital,return_ed_attendances,1,True
2022,8,2022-08-01,Acute Non Hospital,return_ed_attendances,1,True
2022,9,2022-09-01,Acute Non Hospital,return_ed_attendances,1,True
2022,10,2022-10-01,Acute Non Hospital,return_ed_attendances,1,True
2022,11,2022-11-01,Acute Non Hospital,return_ed_attendances,1,True
2022,12,2022-12-01,Acute Non Hospital,return_ed_attendances,1,True
2023,1,2023-01-01,Acute Non Hospital,return_ed_attendances,1,True
2023,2,2023-02-01,Acute Non Hospital,return_ed_attendances,1,True
2023,3,2023-03-01,Acute Non Hospital,return_ed_attendances,1,True
2023,4,2023-04-01,Acute Non Hospital,return_ed_attendances,1,True
2023,5,2023-05-01,Acute Non Hospital,return_ed_attendances,1,True
2023,6,2023-06-01,Acute Non Hospital,return_ed_attendances,1,True
2023,7,2023-07-01,Acute Non Hospital,return_ed_attendances,1,True
2023,8,2023-08-01,Acute Non Hospital,return_ed_attendances,1,True
2023,9,2023-09-01,Acute Non Hospital,return_ed_attendances,1,True
2023,10,2023-10-01,Acute Non Hospital,return_ed_attendances,1,True
2023,11,2023-11-01,Acute Non Hospital,return_ed_attendances,1,True
2023,12,2023-12-01,Acute Non Hospital,return_ed_attendances,1,True
2024,1,2024-01-01,Acute Non Hospital,return_ed_attendances,314930,True
2024,2,2024-02-01,Acute Non Hospital,return_ed_attendances,316267,True
2024,3,2024-03-01,Acute Non Hospital,return_ed_attendances,283745,True
2024,4,2024-04-01,Acute Non Hospital,return_ed_attendances,264072,True
2024,5,2024-05-01,Acute Non Hospital,return_ed_attendances,248886,True
2024,6,2024-06-01,Acute Non Hospital,return_ed_attendances,30,False
2022,1,2022-01-01,Bantry General Hospital,all_emergency_presentations,572,True
2022,2,2022-02-01,Bantry General Hospital,all_emergency_presentations,564,True
2022,3,2022-03-01,Bantry General Hospital,all_emergency_presentations,500,True
2022,4,2022-04-01,Bantry General Hospital,all_emergency_presentations,467,True
2022,5,2022-05-01,Bantry General Hospital,all_emergency_presentations,471,True
2022,6,2022-06-01,Bantry General Hospital,all_emergency_presentations,451,True
2022,7,2022-07-01,Bantry General Hospital,all_emergency_presentations,462,True
2022,8,2022-08-01,Bantry General Hospital,all_emergency_presentations,460,True
2022,9,2022-09-01,Bantry General Hospital,all_emergency_presentations,487,True
2022,10,2022-10-01,Bantry General Hospital,all_emergency_presentations,491,True
2022,11,2022-11-01,Bantry General Hospital,all_emergency_presentations,544,True
2022,12,2022-12-01,Bantry General Hospital,all_emergency_presentations,567,True
2023,1,2023-01-01,Bantry General Hospital,all_emergency_presentations,627,True
2023,2,2023-02-01,Bantry General Hospital,all_emergency_presentations,623,True
2023,3,2023-03-01,Bantry General Hospital,all_emergency_presentations,564,True
2023,4,2023-04-01,Bantry General Hospital,all_emergency_presentations,541,True
2023,5,2023-05-01,Bantry General Hospital,all_emergency_presentations,533,True
2023,6,2023-06-01,Bantry General Hospital,all_emergency_presentations,495,True
2023,7,2023-07-01,Bantry General Hospital,all_emergency_presentations,514,True
2023,8,2023-08-01,Bantry General Hospital,all_emergency_presentations,524,True
2023,9,2023-09-01,Bantry General Hospital,all_emergency_presentations,566,True
2023,10,2023-10-01,Bantry General Hospital,all_emergency_presentations,581,True
2023,11,2023-11-01,Bantry General Hospital,all_emergency_presentations,594,True
2023,12,2023-12-01,Bantry General Hospital,all_emergency_presentations,633,True
2024,1,2024-01-01,Bantry General Hospital,all_emergency_presentations,748,True
2024,2,2024-02-01,Bantry General Hospital,all_emergency_presentations,729,True
2024,3,2024-03-01,Bantry General Hospital,all_emergency_presentations,711,True
2024,4,2024-04-01,Bantry General Hospital,all_emergency_presentations,657,True
2024,5,2024-05-01,Bantry General Hospital,all_emergency_presentations,589,True
2024,6,2024-06-01,Bantry General Hospital,all_emergency_presentations,649,False
2024,7,2024-07-01,Bantry General Hospital,all_emergency_presentations,629,False
2024,8,2024-08-01,Bantry General Hospital,all_emergency_presentations,762,False
2024,9,2024-09-01,Bantry General Hospital,all_emergency_presentations,717,False
2022,1,2022-01-01,Bantry General Hospital,new_ed_attendances,321,True
2022,2,2022-02-01,Bantry General Hospital,new_ed_attendances,305,True
2022,3,2022-03-01,Bantry General Hospital,new_ed_attendances,272,True
2022,4,2022-04-01,Bantry General Hospital,new_ed_attendances,256,True
2022,5,2022-05-01,Bantry General Hospital,new_ed_attendances,249,True
2022,6,2022-06-01,Bantry General Hospital,new_ed_attendances,225,True
2022,7,2022-07-01,Bantry General Hospital,new_ed_attendances,243,True
2022,8,2022-08-01,Bantry General Hospital,new_ed_attendances,245,True
2022,9,2022-09-01,Bantry General Hospital,new_ed_attendances,253,True
2022,10,2022-10-01,Bantry General Hospital,new_ed_attendances,266,True
2022,11,2022-11-01,Bantry General Hospital,new_ed_attendances,297,True
2022,12,2022-12-01,Bantry General Hospital,new_ed_attendances,297,True
2023,1,2023-01-01,Bantry General Hospital,new_ed_attendances,423,True
2023,2,2023-02-01,Bantry General Hospital,new_ed_attendances,423,True
2023,3,2023-03-01,Bantry General Hospital,new_ed_attendances,399,True
2023,4,2023-04-01,Bantry General Hospital,new_ed_attendances,367,True
2023,5,2023-05-01,Bantry General Hospital,new_ed_attendances,347,True
2023,6,2023-06-01,Bantry General Hospital,new_ed_attendances,329,True
2023,7,2023-07-01,Bantry General Hospital,new_ed_attendances,350,True
