size,bedrooms,age,price
1649.014246,2,15,173.0327995
1458.52071,3,29,133.4963325
1694.306561,2,24,160.2932017
1956.908957,2,2,219.4532931
1429.753988,4,24,174.3182118
1429.758913,3,28,156.0259662
1973.763845,4,17,190.9114986
1730.230419,4,13,191.1332705
1359.157684,3,17,169.1082369
1662.768013,2,1,206.2762602
1360.974692,2,21,151.1992115
1360.281074,3,2,232.5413686
1572.588681,2,15,174.3383392
926.0159266,3,28,131.6564527
982.5246502,3,8,172.6662501
1331.313741,4,3,207.0795996
1196.150664,3,0,186.6548407
1594.2742,4,3,221.3034022
1227.592777,2,0,173.6513867
1076.30889,2,13,145.4472584
1939.694631,2,20,172.1310961
1432.26711,2,15,162.4320969
1520.258461,4,19,201.1595087
1072.575544,2,23,108.9561253
1336.685183,3,7,189.696861
1533.276777,3,6,178.5366801
1154.701927,3,2,179.0157777
1612.709406,4,16,199.5249762
1319.808393,2,0,186.6332198
1412.491875,2,15,149.847146
1319.488016,2,11,156.8213637
2055.683455,4,26,197.5801503
1495.950833,3,18,161.4938753
1182.686721,3,21,149.298922
1746.763474,2,22,163.7938921
1133.746905,3,21,138.1713418
1562.659079,3,13,203.5723948
912.0989628,4,29,133.9441384
1101.544185,4,5,164.8257834
1559.058371,4,5,209.8174617
1721.539974,4,12,195.4591341
1551.410484,2,18,170.0948576
1465.305515,4,21,163.3400684
1409.668891,3,7,185.3360802
1056.443403,2,26,125.8720429
1284.046737,3,26,150.8598888
1361.808369,3,1,184.0874544
1817.136668,3,20,177.511821
1603.085487,4,29,157.4048212
971.0879534,4,0,182.0211053
1597.225191,2,27,163.5158019
1384.475316,2,14,165.2735829
1296.9234,4,0,192.2373305
1683.502887,3,4,215.3537638
1809.299857,2,27,177.6865548
1779.384036,4,28,183.2938544
1248.234743,4,15,157.2180375
1407.236287,4,18,169.5194736
1599.379029,3,3,216.638063
1792.663538,4,2,218.5564823
1356.247729,4,16,180.2505807
1444.302307,4,16,187.9614559
1168.099508,4,11,167.1356707
1141.138013,2,27,122.4616471
1743.757747,2,29,116.7752139
1906.872009,4,28,169.099724
1478.396964,3,13,175.3941667
1801.059869,2,20,157.5751616
1608.490808,4,5,226.7486534
1306.464074,2,2,167.0217899
1608.418682,2,27,142.0204892
1961.41097,3,8,213.3779543
1489.252188,4,4,220.8753423
1969.393097,4,23,178.1110333
714.0764688,3,28,121.335461
1746.570751,3,16,185.4308682
1526.11412,4,13,180.4906195
1410.297795,4,20,175.1359245
1527.528233,3,2,204.3670086
903.7293256,2,27,105.1842975
1434.098434,2,0,192.4029425
1607.133771,3,19,168.5035526
1943.368213,2,28,162.3035841
1344.518935,3,20,163.8472535
1257.451919,2,22,154.7327641
1349.472887,2,0,175.0954894
1774.620635,4,2,246.0613655
1598.625333,4,17,166.4103886
1341.071939,2,24,137.535746
1653.98023,2,9,190.5821836
1529.123265,4,21,177.2660819
1790.593497,4,25,173.3026797
1289.384072,4,2,198.3879811
1401.701356,3,7,181.1550585
1382.367554,2,13,157.2247301
1060.945516,4,23,155.5432967
1588.836083,2,17,169.011959
1578.316582,3,14,173.9867331
1501.534037,3,21,172.0727006
1429.62386,4,22,170.5541882
