hospital,region,daily_ed_trolleys,daily_ward_trolleys,daily_total,weekly_ed_trolleys,weekly_ward_trolleys,weekly_total,yearly_ed_trolleys,yearly_ward_trolleys,yearly_total,snapshot_date,hospital_beds,source,ed_trolleys,ward_trolleys,total_trolleys,surge_capacity,delayed_transfers,waiting_over_24hrs,over75_waiting_24hrs,latest_monthly_ed_attendances,attendance_month,attendance_is_synthetic,occupancy_rate_pct,traffic_light_status,wait_breach_flag,load_vs_avg_pct
Ennis Hospital,Country,0.0,13.0,13.0,328,734,1062,3042,1938,4980,2026-05-19,50.0,DoH Open Beds Report March 2021,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5814.0,2024-09-01,False,26.0,Green,0,66.9
University Hospital Limerick,Country,38.0,59.0,97.0,89,118,207,0,577,577,2026-05-19,519.0,DoH Open Beds Report March 2021,17.0,43.0,60.0,40.0,21.0,29.0,0.0,23965.0,2024-09-01,False,18.7,Green,1,499.3
Sligo University Hospital,Country,22.0,19.0,41.0,7,0,7,1036,2254,3290,2026-05-19,281.0,DoH Open Beds Report March 2021,5.0,8.0,13.0,27.0,29.0,4.0,0.0,11007.0,2024-09-01,False,14.6,Green,1,211.0
Tipperary University Hospital,Country,9.0,13.0,22.0,33,47,80,3056,5630,8686,2026-05-19,205.0,DoH Open Beds Report March 2021,9.0,0.0,9.0,26.0,10.0,2.0,0.0,8463.0,2024-09-01,False,10.7,Green,1,113.2
St. Vincent's University Hospital,Eastern,45.0,10.0,55.0,379,54,433,3105,568,3673,2026-05-19,523.0,DoH Open Beds Report March 2021,39.0,10.0,49.0,62.0,28.0,12.0,2.0,14625.0,2024-09-01,False,10.5,Green,1,283.1
Naas General Hospital,Eastern,16.0,0.0,16.0,138,19,157,1351,0,1351,2026-05-19,178.0,DoH Open Beds Report March 2021,16.0,0.0,16.0,22.0,10.0,2.0,0.0,7244.0,2024-09-01,False,9.0,Green,1,82.4
Mayo University Hospital,Country,7.0,15.0,22.0,93,152,245,3225,978,4203,2026-05-19,255.0,DoH Open Beds Report March 2021,7.0,15.0,22.0,12.0,8.0,14.0,0.0,11578.0,2024-09-01,False,8.6,Green,1,113.2
Portiuncula University Hospital,Country,7.0,5.0,12.0,42,14,56,1425,358,1783,2026-05-19,163.0,DoH Open Beds Report March 2021,7.0,0.0,7.0,6.0,10.0,0.0,0.0,8082.0,2024-09-01,False,7.4,Green,0,61.8
Galway University Hospitals,Country,29.0,16.0,45.0,300,196,496,822,1337,2159,2026-05-19,663.0,DoH Open Beds Report March 2021,13.0,16.0,29.0,43.0,32.0,3.0,0.0,24355.0,2024-09-01,False,6.8,Green,1,231.6
Cork University Hospital,Country,34.0,10.0,44.0,382,91,473,0,548,548,2026-05-19,664.0,DoH Open Beds Report March 2021,29.0,10.0,39.0,46.0,37.0,4.0,1.0,27916.0,2024-09-01,False,6.6,Green,1,226.5
Bantry General Hospital,Country,0.0,3.0,3.0,38,0,38,438,0,438,2026-05-19,46.0,DoH Open Beds Report March 2021,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2953.0,2024-09-01,False,6.5,Green,0,15.4
Midland Regional Hospital Portlaoise,Country,8.0,0.0,8.0,99,0,99,1254,598,1852,2026-05-19,133.0,DoH Open Beds Report March 2021,8.0,0.0,8.0,14.0,3.0,0.0,0.0,8927.0,2024-09-01,False,6.0,Green,0,41.2
Midland Regional Hospital Mullingar,Country,8.0,2.0,10.0,49,2,51,546,781,1327,2026-05-19,184.0,DoH Open Beds Report March 2021,8.0,2.0,10.0,0.0,2.0,0.0,0.0,,,,5.4,Green,0,51.5
Letterkenny University Hospital,Country,4.0,14.0,18.0,226,211,437,293,321,614,2026-05-19,350.0,DoH Open Beds Report March 2021,4.0,2.0,6.0,12.0,38.0,0.0,0.0,16796.0,2024-09-01,False,5.1,Green,0,92.6
Mater Misericordiae University Hospital,Eastern,32.0,0.0,32.0,300,0,300,2167,0,2167,2026-05-19,678.0,DoH Open Beds Report March 2021,22.0,0.0,22.0,49.0,17.0,1.0,0.0,15765.0,2024-09-01,False,4.7,Green,1,164.7
Mercy University Hospital,Country,3.0,6.0,9.0,65,31,96,1190,459,1649,2026-05-19,198.0,DoH Open Beds Report March 2021,3.0,0.0,3.0,20.0,17.0,0.0,0.0,6349.0,2024-09-01,False,4.5,Green,0,46.3
Cavan General Hospital,Country,9.0,0.0,9.0,111,0,111,2432,1764,4196,2026-05-19,231.0,DoH Open Beds Report March 2021,8.0,0.0,8.0,6.0,3.0,0.0,0.0,10743.0,2024-09-01,False,3.9,Green,0,46.3
University Hospital Kerry,Country,10.0,0.0,10.0,115,13,128,453,10,463,2026-05-19,272.0,DoH Open Beds Report March 2021,10.0,0.0,10.0,20.0,16.0,4.0,0.0,9880.0,2024-09-01,False,3.7,Green,1,51.5
Beaumont Hospital,Eastern,19.0,0.0,19.0,149,0,149,1455,0,1455,2026-05-19,718.0,DoH Open Beds Report March 2021,12.0,0.0,12.0,26.0,24.0,0.0,0.0,17285.0,2024-09-01,False,2.6,Green,0,97.8
Our Lady of Lourdes Hospital,Country,9.0,0.0,9.0,101,0,101,882,0,882,2026-05-19,426.0,DoH Open Beds Report March 2021,4.0,0.0,4.0,33.0,11.0,0.0,0.0,21907.0,2024-09-01,False,2.1,Green,0,46.3
Connolly Hospital Blanchardstown,Eastern,6.0,0.0,6.0,57,0,57,1471,0,1471,2026-05-19,303.0,DoH Open Beds Report March 2021,0.0,0.0,0.0,4.0,4.0,0.0,0.0,10051.0,2024-09-01,False,2.0,Green,0,30.9
Wexford General Hospital,Country,1.0,2.0,3.0,58,188,246,862,999,1861,2026-05-19,227.0,DoH Open Beds Report March 2021,1.0,2.0,3.0,21.0,7.0,1.0,0.0,8384.0,2024-09-01,False,1.3,Green,1,15.4
Our Lady's Children's Hospital Crumlin,Paediatric,2.0,0.0,2.0,54,3,57,383,52,435,2026-05-19,184.0,DoH Open Beds Report March 2021,2.0,0.0,2.0,0.0,3.0,0.0,0.0,,,,1.1,Green,0,10.3
Tallaght University Hospital,Paediatric,1.0,0.0,1.0,65,72,137,79,0,79,2026-05-19,397.0,DoH Open Beds Report March 2021,1.0,0.0,1.0,5.0,2.0,0.0,0.0,12631.0,2024-09-01,False,0.3,Green,0,5.1
Tallaght University Hospital,Paediatric,1.0,0.0,1.0,65,72,137,79,0,79,2026-05-19,397.0,DoH Open Beds Report March 2021,0.0,0.0,0.0,12.0,10.0,0.0,0.0,12631.0,2024-09-01,False,0.3,Green,0,5.1
St Jamess Hospital,Eastern,14.0,0.0,14.0,153,0,153,951,113,1064,2026-05-19,,,,,,,,,,,,,,Unknown,0,72.1
"St Lukes General Hospital, Kilkenny",Country,12.0,10.0,22.0,0,23,23,284,317,601,2026-05-19,,,,,,,,,,,,,,Unknown,0,113.2
Temple Street Childrens University Hospital,Paediatric,1.0,0.0,1.0,0,41,41,276,0,276,2026-05-19,,,,,,,,,,,,,,Unknown,0,5.1
